,defence_scored_average,points_scored_average,sal_diff,in_win_diff,out_win_diff,difference,total_points,target_flag
281,206.0,207.0,-20161098.0,-3.0,6.0,-10,206,0.0
282,206.0,210.0,-6075973.0,0.0,6.0,19,241,1.0
283,206.0,206.0,-26941627.0,1.0,1.0,-2,192,0.0
284,196.0,205.0,-2589681.0,2.0,1.0,13,229,1.0
285,202.0,206.0,5052645.0,-2.0,5.0,-3,213,0.0
286,204.0,204.0,-55521280.0,-2.0,1.0,-7,193,0.0
287,211.0,198.0,7594887.0,0.0,3.0,-10,186,0.0
288,220.0,216.0,24910376.0,2.0,5.0,11,227,1.0
289,194.0,204.0,1683535.0,1.0,10.0,-10,226,1.0
290,206.0,206.0,56020005.0,4.0,7.0,-4,216,0.0
291,203.0,218.0,19667386.0,2.0,9.0,14,220,0.0
292,229.0,208.0,-4693919.0,1.0,6.0,12,230,1.0
293,211.0,203.0,15097978.0,-3.0,4.0,5,235,1.0
294,203.0,214.0,-23580089.0,2.0,1.0,-12,194,0.0
295,196.0,230.0,-12717458.0,-1.0,6.0,-22,204,0.0
296,192.0,199.0,17939916.0,5.0,4.0,7,223,1.0
297,219.0,207.0,2220446.0,-2.0,1.0,-5,203,0.0
298,197.0,208.0,-41898354.0,2.0,7.0,11,205,0.0
299,217.0,221.0,-10481020.0,2.0,5.0,-3,181,0.0
300,211.0,202.0,-27843952.0,-1.0,2.0,-25,199,0.0
301,214.0,213.0,-1864903.0,0.0,1.0,29,183,0.0
302,198.0,199.0,-10598647.0,-1.0,2.0,-5,213,0.0
303,214.0,206.0,22985531.0,3.0,6.0,24,238,1.0
304,199.0,225.0,29200463.0,1.0,9.0,21,215,0.0
305,210.0,213.0,-44176356.0,-2.0,2.0,-4,250,1.0
306,207.0,214.0,-11688422.0,-2.0,6.0,-18,222,1.0
307,199.0,196.0,-50983064.0,5.0,1.0,29,201,0.0
308,209.0,184.0,-32828076.0,-2.0,4.0,13,229,1.0
309,205.0,204.0,-32265482.0,0.0,6.0,5,231,1.0
310,204.0,204.0,-253618.0,5.0,4.0,9,199,0.0
311,199.0,207.0,24230706.0,-1.0,6.0,13,239,1.0
312,202.0,206.0,-10718500.0,-5.0,2.0,-7,235,1.0
313,215.0,218.0,21543152.0,2.0,10.0,11,205,0.0
314,224.0,207.0,14008029.0,6.0,3.0,1,221,1.0
315,212.0,211.0,1687356.0,-5.0,4.0,-19,233,1.0
316,190.0,207.0,13385498.0,2.0,6.0,-12,194,0.0
317,212.0,195.0,13111145.0,-2.0,1.0,-1,213,0.0
318,191.0,188.0,253618.0,-6.0,3.0,-16,174,0.0
319,219.0,206.0,39362640.0,-3.0,6.0,5,205,0.0
320,197.0,213.0,17119587.0,-1.0,2.0,4,218,0.0
321,223.0,221.0,-35927419.0,-3.0,4.0,-21,245,1.0
322,210.0,217.0,38101824.0,1.0,6.0,5,235,1.0
323,196.0,212.0,1141618.0,4.0,2.0,6,222,1.0
324,203.0,209.0,12405865.0,-3.0,6.0,18,200,0.0
325,219.0,213.0,24669066.0,5.0,10.0,5,227,1.0
326,221.0,209.0,8916173.0,2.0,4.0,-12,216,0.0
327,204.0,203.0,-5792560.0,3.0,8.0,5,227,1.0
328,198.0,200.0,-12608530.0,-1.0,2.0,26,190,0.0
329,217.0,219.0,15275525.0,3.0,3.0,15,215,0.0
330,204.0,196.0,27843952.0,1.0,6.0,5,213,0.0
331,214.0,209.0,-19859617.0,-2.0,6.0,5,211,0.0
332,207.0,199.0,17116797.0,2.0,6.0,-7,239,1.0
333,208.0,232.0,-32755481.0,-2.0,2.0,-23,213,0.0
334,215.0,224.0,12612420.0,-3.0,6.0,-28,218,0.0
335,202.0,189.0,8859448.0,3.0,6.0,6,218,0.0
336,213.0,213.0,-2443225.0,5.0,1.0,-5,205,0.0
337,184.0,201.0,20647649.0,-3.0,2.0,3,177,0.0
338,220.0,208.0,-8916173.0,-2.0,3.0,-20,200,0.0
339,199.0,216.0,7715813.0,4.0,10.0,11,211,0.0
340,208.0,217.0,-13622926.0,-6.0,1.0,-22,204,0.0
341,219.0,208.0,9177199.0,2.0,1.0,10,198,0.0
342,200.0,192.0,-12786077.0,-6.0,2.0,17,227,1.0
343,220.0,209.0,-2250694.0,-4.0,6.0,18,212,0.0
344,203.0,193.0,-3274444.0,-4.0,3.0,3,187,0.0
345,213.0,227.0,-31907352.0,-3.0,7.0,-10,240,1.0
346,222.0,217.0,3125914.0,3.0,6.0,-14,216,0.0
347,202.0,206.0,-1603217.0,2.0,5.0,3,189,0.0
348,205.0,217.0,-21027824.0,4.0,2.0,47,185,0.0
349,196.0,209.0,27666391.0,-3.0,2.0,6,194,0.0
350,221.0,192.0,-5052645.0,1.0,6.0,-14,198,0.0
351,216.0,228.0,42609792.0,4.0,6.0,13,239,1.0
352,209.0,212.0,21226668.0,6.0,10.0,7,187,0.0
353,209.0,226.0,-26750220.0,0.0,1.0,-14,188,0.0
354,212.0,215.0,26734071.0,4.0,9.0,6,196,0.0
355,218.0,212.0,2287522.0,5.0,6.0,2,194,0.0
356,218.0,209.0,-8859448.0,-4.0,4.0,-6,220,0.0
357,201.0,197.0,-6032278.0,-2.0,6.0,4,204,0.0
358,233.0,205.0,-3006521.0,-5.0,7.0,9,237,1.0
359,208.0,205.0,-14877270.0,5.0,1.0,11,187,0.0
360,222.0,212.0,4077015.0,3.0,5.0,4,216,0.0
361,201.0,193.0,-36359412.0,6.0,5.0,12,222,1.0
362,226.0,208.0,-27988918.0,-5.0,5.0,5,195,0.0
363,222.0,207.0,2172964.0,1.0,6.0,-3,211,0.0
364,215.0,195.0,-35391396.0,-2.0,5.0,-10,208,0.0
365,176.0,230.0,-19344859.0,3.0,2.0,-11,213,0.0
366,207.0,192.0,16158640.0,6.0,1.0,-8,230,1.0
367,204.0,225.0,-22143775.0,0.0,6.0,-4,200,0.0
368,194.0,219.0,-11335404.0,-1.0,6.0,4,208,0.0
369,186.0,198.0,-20973860.0,-4.0,3.0,-9,223,1.0
370,201.0,198.0,13510855.0,2.0,6.0,7,211,0.0
371,218.0,213.0,24112653.0,2.0,7.0,-7,225,1.0
372,232.0,214.0,-7026588.0,-4.0,5.0,-14,192,0.0
373,199.0,213.0,-3286752.0,0.0,5.0,3,207,0.0
374,219.0,196.0,-4077015.0,-4.0,3.0,7,227,1.0
375,216.0,202.0,-43700681.0,0.0,5.0,-12,190,0.0
376,221.0,192.0,-4538216.0,-9.0,2.0,2,206,0.0
377,217.0,206.0,17426136.0,2.0,1.0,-11,209,0.0
378,207.0,209.0,12717458.0,2.0,9.0,7,203,0.0
379,215.0,209.0,-19340468.0,-2.0,4.0,1,225,1.0
380,210.0,193.0,-20394031.0,-4.0,3.0,-1,203,0.0
381,203.0,208.0,2589681.0,-3.0,6.0,17,217,0.0
382,197.0,189.0,-21382314.0,-9.0,5.0,-3,205,0.0
383,204.0,212.0,-3369680.0,-1.0,6.0,-7,241,1.0
384,206.0,209.0,-1683535.0,-4.0,6.0,-10,172,0.0
385,203.0,208.0,-11720507.0,-1.0,6.0,10,242,1.0
386,206.0,204.0,21467978.0,3.0,7.0,5,189,0.0
387,221.0,211.0,10096040.0,-1.0,7.0,7,255,1.0
388,199.0,204.0,1633790.0,8.0,1.0,4,218,0.0
389,204.0,204.0,-53500491.0,-5.0,4.0,-15,189,0.0
390,196.0,195.0,-22448620.0,-9.0,2.0,23,193,0.0
391,201.0,216.0,14790555.0,1.0,13.0,7,215,0.0
392,212.0,230.0,20486477.0,1.0,12.0,7,253,1.0
393,205.0,216.0,-26558864.0,-4.0,4.0,5,187,0.0
394,202.0,197.0,-36105794.0,0.0,3.0,-25,189,0.0
395,202.0,201.0,23650877.0,1.0,3.0,-13,219,0.0
396,208.0,203.0,-21350351.0,-1.0,5.0,5,201,0.0
397,206.0,210.0,10718500.0,7.0,9.0,9,237,1.0
